cycle,n_rows,dup_pct,ndup_pct,lblc_verifier,lblc_teacher,distinct_1,distinct_2,mean_token_len,label_drift,n_fail,probe_total_tokens,probe_cost_usd
0,32,0.0,0.0312,0.4375,,0.5288,0.8629,11.9375,0.9271,0,,
1,32,0.0,0.0,0.4688,,0.4933,0.8717,11.7188,0.9254,0,,
2,32,0.0,0.0,0.375,,0.4687,0.7881,11.4688,0.9421,0,,
3,32,0.0,0.0,0.1875,,0.5106,0.9017,11.8125,0.952,0,,
4,32,0.0,0.0,0.6875,,0.4865,0.88,12.7188,0.7821,0,,
5,32,0.0,0.0,0.6562,,0.4782,0.8623,15.75,0.916,0,,
6,31,0.0,0.0,0.6774,,0.4802,0.8794,13.8387,0.9126,1,,
7,32,0.0,0.0,0.5,,0.5104,0.8853,13.5312,0.9045,0,,
8,32,0.0,0.0,0.4375,,0.4427,0.7848,15.8125,0.9359,0,,
all,287,0.0,0.0035,0.4913,,0.2327,0.6465,13.1742,0.6673,1,,
