dataset,selector,volume,regret_usd
banking77,expert_default,1000,0.0
banking77,expert_default,10000,0.0
banking77,expert_default,100000,0.0
banking77,expert_default,1000000,0.0
banking77,expert_default,10000000,0.0
banking77,expert_default,100000000,0.0
banking77,random,1000,1.318466550306783
banking77,random,10000,4.6846155030678265
banking77,random,100000,38.346105030678274
banking77,random,1000000,374.96100030678264
banking77,random,10000000,3741.1099530678266
banking77,random,100000000,37402.59948067826
banking77,volume_threshold,1000,1.0219469481926993
banking77,volume_threshold,10000,10.917866981926991
banking77,volume_threshold,100000,109.87706731926991
banking77,volume_threshold,1000000,1099.469070692699
banking77,volume_threshold,10000000,10995.389104426991
banking77,volume_threshold,100000000,109954.5894417699
banking77,recommender_rules,1000,0.0
banking77,recommender_rules,10000,0.0
banking77,recommender_rules,100000,0.0
banking77,recommender_rules,1000000,0.0
banking77,recommender_rules,10000000,0.0
banking77,recommender_rules,100000000,0.0
banking77,recommender_budget_search,1000,0.0
banking77,recommender_budget_search,10000,0.0
banking77,recommender_budget_search,100000,0.0
banking77,recommender_budget_search,1000000,0.0
banking77,recommender_budget_search,10000000,0.0
banking77,recommender_budget_search,100000000,0.0
